command,category,users_count,freq_norm_avg,users_sparkline,freq_norm_avg_bar
exec,system,4,0.0334192491648024,▁▂▂▁▁▁▁▁▁▁▁▁▁█▁,▌             
export alias,core,2,0.03338446169351274,█▁▁▁▁▁▁▁▁▁▁▁█▁▁,▌             
wrap,filters,4,0.03294428486243644,▆█▃▆▁▁▁▁▁▁▁▁▁▁▁,▌             
dfr as,expression,3,0.032483849339417926,█▄▁▁▁▄▁▁▁▁▁▁▁▁▁,▌             
from csv,formats,5,0.03155326915985611,▂▂▁▂▁▁▂█▁▁▁▁▁▁▁,▌             
rename,filters,7,0.031362263792421095,▇█▃▆▁▁▂▁▄▁▁▁▄▁▁,▌             
to json,formats,5,0.03117533795543212,▄▂▂▆▁▁▁█▁▁▁▁▁▁▁,▍             
match,core,2,0.031138939476987815,▂▁▁▁▁▁▁▁▁▁▁▁█▁▁,▍             
split chars,strings,4,0.03030012659023768,▂▂▁▄▁▁▁▁▁▁▁█▁▁▁,▍             
path expand,path,7,0.030186820113598162,▂▂▆▃▁▂▁▁█▁▁▁▂▁▁,▍             
str length,strings,3,0.029545610002898553,▅▅▁█▁▁▁▁▁▁▁▁▁▁▁,▍             
dfr contains,dataframe,2,0.029532274507400823,▂▁▁▁▁▁▁▁▁▁▁█▁▁▁,▍             
split column,strings,4,0.029414800756112802,▂▂▁█▁▁▂▁▁▁▁▁▁▁▁,▍             
str trim,strings,6,0.029265814677610625,▃▃▄█▁▃▁▁▁▁▁▁▂▁▁,▍             
str contains,strings,4,0.02862509912257808,▂▃█▁▁▁▁▁▁▁▁▁▁▁▁,▍             
date format,removed,3,0.028596436072791442,▃▄▁█▁▁▁▁▁▁▁▁▁▁▁,▍             
path join,path,7,0.028245262670090244,▂▁▇▃▁▅▁▁▃▁█▁▄▁▁,▍             
insert,filters,6,0.027798184469141656,▆▇▁▁▃▇▅▁▁▁▁▁█▁▁,▍             
tutor,misc,2,0.026567971005590024,▁▂▁▁▁▁▁▁▁▁█▁▁▁▁,▍             
hash,hash,1,0.026407573492775286,▁█▁▁▁▁▁▁▁▁▁▁▁▁▁,▍             
from yaml,formats,2,0.026373887003458614,█▄▁▁▁▁▁▁▁▁▁▁▁▁▁,▍             
math avg,math,3,0.02634457135349492,▁▁▁▁▁█▁▁▁▁▁▁▂▁▁,▍             
return,core,4,0.02618079499294898,▂▂▁▂▁▁▁▁▁▁▁▁█▁▁,▍             
date,date,1,0.025573770491803278,▁▁▁█▁▁▁▁▁▁▁▁▁▁▁,▍             
cal,generators,1,0.025573770491803278,▁▁▁█▁▁▁▁▁▁▁▁▁▁▁,▍             
collect,filters,4,0.025566581510233007,▁▁▂▂▁█▁▁▁▁▁▁▁▁▁,▍             
dfr unique,dataframe or lazyframe,2,0.025504674266338657,█▄▁▁▁▁▁▁▁▁▁▁▁▁▁,▍             
into record,conversions,6,0.025178280494088042,▄▅▄▇▁▁▁▁▁█▁▁▃▁▁,▍             
dfr drop,dataframe,2,0.02517490126565966,█▇▁▁▁▁▁▁▁▁▁▁▁▁▁,▍             
