name,category,freq_overall,users_count,f_n_per_user,f_n_by_user,importance,importance_b,crate,first_tag,last_tag
dfr join,lazyframe,500,2,0.05087508458474584,██▁▁▁▁▁▁▁▁▁▁▁▁▁,0.09768133801852757,█▏          ,nu-cmd-dataframe,0.60.0,0.84.0
with-env,env,91,3,0.0334372461359625,▁▁▁▁▁▂▁▁█▁▁▁▁▁▁,0.09698842531914383,█▏          ,nu-command,0.14.0,0.84.0
continue,core,102,2,0.04926150612474788,▁▁▁▁▁▁▁▁█▁▁▁▁▁▁,0.09611980269019409,█▏          ,nu-cmd-lang,0.72.0,0.84.0
dfr into-lazy,lazyframe,462,2,0.04700857815630516,██▁▁▁▁▁▁▁▁▁▁▁▁▁,0.09389610678037195,█▏          ,nu-cmd-dataframe,0.76.0,0.84.0
dfr get,dataframe,256,3,0.029176327139734767,▆▆▁▁▁▁▁▁▁▁▁█▁▁▁,0.09059828301482999,█▏          ,nu-cmd-dataframe,0.60.0,0.84.0
zip,filters,109,7,0.012404269913951466,▂▂█▆▁▅▁▇▁▁▁▁▅▁▁,0.09023575445429957,█▏          ,nu-command,0.36.0,0.84.0
math sum,math,263,5,0.017345771656914002,▅▇▃█▁▁▁▁▁▁▁▁▁▁▁,0.09018324216713779,█▏          ,nu-command,0.15.1,0.84.0
inspect,debug,203,4,0.020383536293082566,▅▅▆▁▁▁▁▁▁█▁▁▁▁▁,0.0874407332921546,█           ,nu-command,0.76.0,0.84.0
into string,conversions,307,4,0.02031584986755368,█▆▅▁▁▁▁▁▁▁▁▁▂▁▁,0.08729543288601775,█           ,nu-command,0.31.0,0.84.0
each while,filters,31,2,0.04023844730258814,▁▁▁▁▁▁▁▁▁▁█▁▁▁▁,0.08687196291918385,█           ,nu-cmd-extra,0.64.0,0.84.0
math avg,math,82,4,0.020063927496791253,▁▁▁█▁▁▁▁▁▁▁▁▂▁▁,0.08675250029101779,█           ,nu-command,0.15.1,0.84.0
str length,strings,252,3,0.026740323279005163,▅▄█▁▁▁▁▁▁▁▁▁▁▁▁,0.0867337220564156,█           ,nu-command,0.17.0,0.84.0
date format,removed,207,3,0.02579963965996478,▃▃█▁▁▁▁▁▁▁▁▁▁▁▁,0.08519448410106595,█           ,nu-command,0.19.0,0.84.0
dfr rename,dataframe or lazyframe,378,2,0.038462392193273146,██▁▁▁▁▁▁▁▁▁▁▁▁▁,0.08493313869577807,█           ,nu-cmd-dataframe,0.60.0,0.84.0
path split,path,86,4,0.018881558604579202,▁▂▁▁▁▇▁▁▁█▁▁▁▁▁,0.08415752329655968,█           ,nu-command,0.30.0,0.84.0
from yaml,formats,365,2,0.037139060221026046,██▁▁▁▁▁▁▁▁▁▁▁▁▁,0.08345925097501466,█           ,nu-command,0.14.0,0.84.0
const,core,46,4,0.018425731975157508,▁▁▁█▁▁▁▁▁▁▁▁▅▁▁,0.08313547840822012,█           ,nu-cmd-lang,0.74.0,0.84.0
math eval,,16,1,0.0730593607305936,▁▁▁▁▁▁▁▁▁▁█▁▁▁▁,0.08277171691856865,█           ,nu-command,0.17.0,0.83.1
into decimal,conversions,93,5,0.01452374288675227,▂▁▂█▁▁▁▁▁▁▁▁▂▁▁,0.08252172696483857,█           ,nu-command,0.60.0,0.84.0
